Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
@tunefultv,@tunefultv,<[2021-05-20T19:26:28.578Z]>,User,,,,,,,,,,,,,,,,,,,,
@corythisisforu,@corythisisforu,<[2021-05-20T19:26:28.704Z]>,User,,,,,,,Wed Jul 15 00:57:30 CEST 2020,,,,"why is there a street sign on the floor? || private: @sh1timisslouis || I claim track 10 on LT2, LP2 and NH3",,http://pbs.twimg.com/profile_images/1390991768896819201/dOXOSLRH_bigger.jpg,577,655,yasmin ◟̽◞̽²⁸ 🌈 | is going to hit fla|,She/they 🏳️‍🌈 || 17 🇮🇹🇧🇪,,,
@rivertosea48,@rivertosea48,<[2021-05-20T19:26:28.706Z]>,User,,,,,,,Sat Jul 20 23:34:51 CEST 2019,,,,"Left-handed leftie who loves baking & cooking, and I’m the co-founder of Decolonize Palestine @decolonizeps | 🇵🇸☭|she/her | إنا نحب الورد لكنا نحب القمح اكثر",,http://pbs.twimg.com/profile_images/1385686499589595137/WU6zaYr2_bigger.jpg,965,19770,Rawan‏𓂆روان,Ramallah/رام الله,,,
@bisbabel,@bisbabel,<[2021-05-20T19:26:29.173Z]>,User,,,,,,,Sun Nov 22 15:58:27 CET 2009,,,,"A palabras incoherentes emitidas por laringes inconscientes, trompas de eustaquio en completo estado de catalepsia.",,http://pbs.twimg.com/profile_images/1136251257025417217/Iq09tsX-_bigger.jpg,251,124,Isabel,Comunidad Foral de Navarra,,,
@valeria_rm3,@valeria_rm3,<[2021-05-20T19:26:29.175Z]>,User,,,,,,,Fri Aug 01 16:12:53 CEST 2014,,,,🧬 🦠 🧫🥼,,http://pbs.twimg.com/profile_images/1347594222413762562/WSR1MIpI_bigger.jpg,111,104,Valeria🌻,"Rome, Italy",,,
@j00nbu8,@j00nbu8,<[2021-05-20T19:26:29.176Z]>,User,,,,,,,Wed Feb 17 05:57:40 CET 2021,,,,"cup of milk, let’s rock and roll 🥛",,http://pbs.twimg.com/profile_images/1384673325352329220/yuCdRv6A_bigger.jpg,345,19,Annaᴮᴱlle⁷💜💛🧈,,,,
@loryapril,@loryapril,<[2021-05-20T19:26:29.316Z]>,User,,,,,,,Sat Jun 06 13:34:34 CEST 2015,,,,"Dutch 🇳🇱

 • •

We're all mad here 🎩",,http://pbs.twimg.com/profile_images/1100747331618656256/xLkHVaO__bigger.jpg,374,49,Lory,,,,
@bejbiibejbii,@bejbiibejbii,<[2021-05-20T19:26:29.363Z]>,User,,,,,,,Wed Mar 15 07:07:15 CET 2017,,,,neironično imam daddy issues | svi zaprat na insta @/maljciqi pusa bok!,,http://pbs.twimg.com/profile_images/1395421723529551872/AW-jFdp1_bigger.jpg,140,290,𝙰𝚗𝚍𝚓𝚎𝚕𝚊,Republic of Serbia,,,
@mtnztriana,@mtnztriana,<[2021-05-20T19:26:29.419Z]>,User,,,,,,,Wed Mar 03 21:51:30 CET 2021,,,,rip @trianamtnz // 🦋 es importante que sepas que soy kpoper y fangirl en general,,http://pbs.twimg.com/profile_images/1386828747412758529/LXlYCVua_bigger.jpg,297,112,tri 🌱,"Sevilla, España",,,
@_gospa_,@_gospa_,<[2021-05-20T19:26:29.446Z]>,User,,,,,,,Thu Sep 17 11:45:14 CEST 2020,,,,ꒌ,,http://pbs.twimg.com/profile_images/1394943474596712450/BG6xHGCT_bigger.jpg,446,456,јулија,,,,
@dunlerandomnpc,@dunlerandomnpc,<[2021-05-20T19:26:29.529Z]>,User,,,,,,,Sat Sep 07 14:45:25 CEST 2013,,,,"""Diam itu jauh lebih mulia dan bermanfaat dibanding mendongeng dusta, ツイッタードセ."" -Sosmed sebelah
KSV.
Linguistics, Films, Visual arts, and Eurovision enthusiast.",,http://pbs.twimg.com/profile_images/889021405538516992/0Mrx4vZy_bigger.jpg,341,44,"A random NPC named ""Dun"".","Southern Hemisphere, Terra",,,
@andrewcreak,@andrewcreak,<[2021-05-20T19:26:29.540Z]>,User,,,,,,,Tue Mar 26 17:23:08 CET 2019,,,,"Screen Skills Assistant Director Trainee 20/22. BLM. Feminist. Eco-Socialist, views are my own. Non-Binary He / they pronouns.",,http://pbs.twimg.com/profile_images/1374084118309433353/eskyC7sU_bigger.jpg,907,362,Andrew Creak,"Cardiff, Wales",,,
