Source,Target,Type,Kind,Id,Label,timeset,Weight
@tve_tve,@rtve,Directed,Retweet,2293,,<[2021-05-20T19:25:22.252Z]>,1
@blue_decadence,@wzairz,Directed,Mention,2294,,<[2021-05-20T19:25:22.502Z]>,1
@blue_decadence,@wzairz,Directed,Retweet,2295,,<[2021-05-20T19:25:22.502Z]>,1
@inmaculadaglezc,@eurovision,Directed,Mention,2296,,<[2021-05-20T19:25:22.521Z]>,1
@inmaculadaglezc,@eurovision,Directed,Retweet,2297,,<[2021-05-20T19:25:22.521Z]>,1
@mun_child,@inkfabr,Directed,Mention,2298,,<[2021-05-20T19:25:22.680Z]>,1
@mun_child,@inkfabr,Directed,Retweet,2299,,<[2021-05-20T19:25:22.680Z]>,1
@malinovoe_wino_,@thegodjesus33,Directed,Mention,2300,,<[2021-05-20T19:25:22.706Z]>,1
@malinovoe_wino_,@thegodjesus33,Directed,Retweet,2301,,<[2021-05-20T19:25:22.706Z]>,1
@erteurovision,@vasso_cenation,Directed,Mention,2302,,<[2021-05-20T19:25:22.726Z]>,1
@erteurovision,@vasso_cenation,Directed,Retweet,2303,,<[2021-05-20T19:25:22.726Z]>,1
@martacoletas,@gagaxbts,Directed,Mention,2304,,<[2021-05-20T19:25:22.745Z]>,1
@martacoletas,@gagaxbts,Directed,Retweet,2305,,<[2021-05-20T19:25:22.746Z]>,1
@4ngelblu3,@starkovfentomen,Directed,Mention,2306,,<[2021-05-20T19:25:22.750Z]>,1
@4ngelblu3,@starkovfentomen,Directed,Retweet,2307,,<[2021-05-20T19:25:22.750Z]>,1
@qwazy_,@eurovision,Directed,Mention,2308,,<[2021-05-20T19:25:22.787Z]>,1
@musicland1105,@maiksds,Directed,Mention,2309,,<[2021-05-20T19:25:23.017Z]>,1
@peric_stefann,@toestxrasno,Directed,Mention,2310,,<[2021-05-20T19:25:23.201Z]>,1
@peric_stefann,@toestxrasno,Directed,Retweet,2311,,<[2021-05-20T19:25:23.202Z]>,1
@time_and_time_,@suigeneriis_,Directed,Mention,2312,,<[2021-05-20T19:25:23.203Z]>,1
